"id","aircraftModel","category","price","quoteDate","leg_Passenger_number_PAX","leg_Departure_Date","leg_Arrival_Date","leg_Departure_Airport","leg_Arrival_Airport"
"18155","CESSNA 510 Citation Mustang","Entry level jet (VLJ)","14628","2024-01-08 00:00:00.000","2","2024-01-08","2024-01-08","LFTH","LEIB"
"15308","Beechjet 400A","Light jet","41900","2024-01-11 00:00:00.000","4","2024-01-11",NULL,"MROC","SPJC"
"26362","Phenom 300","Super light jet","22154","2024-01-11 00:00:00.000","4","2024-01-11","2024-01-11","LEMG","LOWW"
"33846","Nextant 400XTi","Light jet","17490","2024-01-12 00:00:00.000","4","2024-01-12",NULL,"LEMG","EGLF"
"22303","Beechjet 400A","Light jet","10918","2024-03-09 00:00:00.000","2","2024-03-09","2024-03-09","LIML","LOWW"
"22534","Learjet 60XR","Midsize jet","13780","2024-03-09 00:00:00.000","2","2024-03-09","2024-03-09","LIML","LOWW"
"19171","Cessna Mustang","Unknown","13356","2024-04-08 00:00:00.000","2","2024-04-08","2024-04-08","EHAM","ENAL"
"18969","Hawker 800XPi","Midsize jet","46640","2024-03-08 00:00:00.000","2","2024-04-08","2024-04-08","DGAA","GMMN"
"17878","Cessna Citation XLS+","Midsize jet","17861","2024-04-12 00:00:00.000","4","2024-04-12","2024-04-12","LIMC","EGKB"
"30247","Learjet 60","Midsize jet","11380","2024-05-11 00:00:00.000","6","2024-05-25","2024-05-25","SADF","SANE"
"19340","Citation CJ3","Light jet","17278","2024-06-08 00:00:00.000","3","2024-06-08","2024-06-08","LBSF","LSGG"
"23621","Beechjet 400A","Light jet","10706","2024-06-09 00:00:00.000","4","2024-06-09","2024-06-09","LEMD","LEIB"
"23623","HondaJet","Entry level jet (VLJ)","9540","2024-05-09 00:00:00.000","4","2024-06-09","2024-06-09","LEMD","LEIB"
"23624","HondaJet","Entry level jet (VLJ)","9540","2024-06-09 00:00:00.000","4","2024-06-09","2024-06-09","LEMD","LEIB"
"32210","Phenom 300","Super light jet","10600","2024-06-12 00:00:00.000","2","2024-06-12","2024-06-12","LSGG","LFPB"
"1443","Phenom 100","Entry level jet (VLJ)","11250","2024-07-07 00:00:00.000","1","2024-07-07","2024-07-07","KMVY","KBUY"
"1114","Gulfstream G550","Ultra long range","57801","2024-07-07 00:00:00.000","11","2024-07-07","2024-07-07","MMUN","KDAL"
"19933","Gulfstream G-V","Ultra long range","79500","2024-07-08 00:00:00.000","6","2024-07-08","2024-07-09","KTEB","LIRA"
"23","Beechjet 400","Light jet","11500","2024-07-16 00:00:00.000","1","2024-07-16","2024-07-17","KRVS","KAEX"
"27","Citation II","Light jet","9700","2024-07-16 00:00:00.000","1","2024-07-16","2024-07-17","KRVS","KAEX"
"28","Pilatus PC12/47","Turbo prop","10200","2024-07-16 00:00:00.000","1","2024-07-16","2024-07-17","KRVS","KAEX"
"29","King Air 90","Turbo prop","7300","2024-07-16 00:00:00.000","1","2024-07-16","2024-07-17","KRVS","KAEX"
"16190","Learjet 60","Midsize jet","18900","2024-07-16 00:00:00.000","3","2024-07-16","2024-07-16","KCGI","KMKC"
"16240","Beechcraft Beechjet 400","Light jet","11500","2024-07-16 00:00:00.000","1","2024-07-16","2024-07-16","KRVS","KAEX"
"16273","Piaggio Avanti II","Light jet","8050","2024-07-16 00:00:00.000","1","2024-07-16","2024-07-16","KRVS","KAEX"
"16275","Cessna Citation X","Super midsize jet","19750","2024-07-16 00:00:00.000","1","2024-07-16","2024-07-16","KRVS","KAEX"
"16279","King Air C90","Turbo prop","11774.64","2024-07-16 00:00:00.000","1","2024-07-16",NULL,"KRVS","KAEX"
"16287","King Air 200","Turbo prop","12380","2024-07-16 00:00:00.000","1","2024-07-16","2024-07-16","KRVS","KAEX"
"16288","Citation II","Light jet","15939.4","2024-07-16 00:00:00.000","1","2024-07-16","2024-07-16","KRVS","KAEX"
"16211","Cessna Citation XLS","Midsize jet","12970","2024-07-17 00:00:00.000","2","2024-07-17","2024-07-17","KCGF","KTEB"
"16213","Midsize Jet","Midsize jet","9500","2024-07-17 00:00:00.000","2","2024-07-17",NULL,"KCGF","KTEB"
"16216","Learjet 45XR","Super light jet","13900","2024-07-16 00:00:00.000","2","2024-07-17","2024-07-17","KCGF","KTEB"
"16220","Cessna Citation X","Super midsize jet","14900","2024-07-17 00:00:00.000","2","2024-07-17","2024-07-17","KCGF","KTEB"
"16232","Cessna Citation M2","Entry level jet (VLJ)","14000","2024-07-17 00:00:00.000","1","2024-07-17","2024-07-17","ESNN","KFTW"
"16238","Beechcraft Premier I","Light jet","15260","2024-07-17 00:00:00.000","6","2024-07-17","2024-07-17","ESNN","KFTW"
"16251","Learjet 60","Midsize jet","17335","2024-07-16 00:00:00.000","2","2024-07-17","2024-07-17","KCGF","KTEB"
"16265","Light Jet","Light jet","17624","2024-07-17 00:00:00.000","2","2024-07-17","2024-07-17","KSDL","KFTW"
"16271","Cessna Citation X","Super midsize jet","20870","2024-07-17 00:00:00.000","2","2024-07-17","2024-07-17","ESNN","KFTW"
"16278","Nextant 400XTi","Light jet","12410","2024-07-17 00:00:00.000","2","2024-07-17","2024-07-17","KSDL","KFTW"
"16285","Beechcraft Hawker 900XP","Midsize jet","16325","2024-07-17 00:00:00.000","TBD","2024-07-17","2024-07-17","ESNN","KFTW"
"16149","Beechcraft Hawker 800XP","Midsize jet","12199","2024-07-17 00:00:00.000","4","2024-07-17","2024-07-17","KORF","KRKD"
"16153","Bombardier Lear 60","Light jet","18537","2024-07-17 00:00:00.000","4","2024-07-17","2024-07-17","KORF","KRKD"
"16187","CESSNA 510 Citation Mustang","Entry level jet (VLJ)","10610.6","2024-07-16 00:00:00.000","2","2024-07-17","2024-07-17","LFPB","LFMN"
"16203","Cessna Citation Bravo","Light jet","10755","2024-07-17 00:00:00.000","2","2024-07-17","2024-07-17","KCGF","KTEB"
"16209","Light Jet","Light jet","8500","2024-07-17 00:00:00.000","2","2024-07-17","2024-07-17","KCGF","KTEB"
"13840","Beechjet 400A","Light jet","10950","2024-07-16 00:00:00.000","4","2024-07-17","2024-07-17","KORF","KRKD"
"13841","Beechjet 400A","Light jet","10950","2024-07-16 00:00:00.000","4","2024-07-17","2024-07-17","KORF","KRKD"
"13845","PC12NGX","Turbo prop","10840","2024-07-16 00:00:00.000","2","2024-07-17","2024-07-17","KRAP","KMSO"
"1","Hawker 800XP","Midsize jet","12199","2024-07-16 00:00:00.000","4","2024-07-17","2024-07-17","KORF","KRKD"
"10","Citation Bravo","Light jet","10755","2024-07-16 00:00:00.000","2","2024-07-17","2024-07-17","KCGF","KTEB"
"12","Citation Excel","Midsize jet","14500","2024-07-16 00:00:00.000","2","2024-07-17","2024-07-17","KCGF","KTEB"
"13","Citation Bravo","Light jet","11995","2024-07-16 00:00:00.000","2","2024-07-17","2024-07-17","KCGF","KTEB"
"20","Learjet 55","Midsize jet","11800","2024-07-16 00:00:00.000","2","2024-07-17","2024-07-17","KCGF","KTEB"
"2","Falcon 900B","Heavy jet","47545","2024-07-16 00:00:00.000","11","2024-07-18","2024-07-18","KRIL","KIAD"
"21","Phenom 300","Super light jet","12750","2024-07-16 00:00:00.000","2","2024-07-18","2024-07-18","KCGF","KTEB"
