icao,iata,name,city,subd,country,lat,lon,lid
00AA,,Aero B Ranch Airport,Leoti,Kansas,US,38.70402,-101.47391,00AA
00AK,,Lowell Field,Anchor Point,Alaska,US,59.94889,-151.69222,00AK
00AL,,Epps Airpark,Harvest,Alabama,US,34.86481,-86.77028,00AL
00AN,,Katmai Lodge Airport,King Salmon,Alaska,US,59.09347,-156.45583,00AN
00AS,,Fulton Airport,Alex,Oklahoma,US,34.9428,-97.81802,00AS
NULL,,Cordes Airport,Cordes,US-AZ,US,34.305599212646484,-112.16500091552734,00AZ
00CA,,Goldstone /Gts/ Airport,Barstow,California,US,35.35497,-116.88521,00CA
00CL,,Williams Ag Airport,Biggs,California,US,39.42719,-121.76343,00CL
00FA,,Grass Patch Airport,Bushnell,Florida,US,28.64555,-82.21898,00FA
00FL,,River Oak Airport,Okeechobee,Florida,US,27.23088,-80.96923,00FL
00GA,,Lt World Airport,Lithonia,Georgia,US,33.7675,-84.06833,00GA
00ID,,Delta Shores Airport,Clark Fork,Idaho,US,48.14528,-116.21444,00ID
00IG,,Goltl Airport,Mcdonald,Kansas,US,39.72403,-101.39599,00IG
00IL,,Hammer Airport,Polo,Illinois,US,41.97836,-89.56039,00IL
00IS,,Hayenga's Cant Find Farms Airport,Kings,Illinois,US,40.0256,-89.12286,00IS
00KS,,Hayden Farm Airport,Gardner,Kansas,US,38.72779,-94.93052,00KS
00KY,,Robbins Roost Airport,Stanford,Kentucky,US,37.40944,-84.61972,00KY
00LS,,Lejeune Airport,Esterwood,Louisiana,US,30.13628,-92.42936,00LS
00MD,,Slater Field,Federalsburg,Maryland,US,38.75706,-75.75382,00MD
00MN,,Battle Lake Municipal Airport,Battle Lake,Minnesota,US,46.29996,-95.70032,00MN
NULL,,Cooper Flying Service Airport,Alba,US-MO,US,37.202800750732,-94.412399291992,00MO
K00N,,Bucks Airport,Bridgeton,New Jersey,US,39.47303,-75.18442,00N
00NC,,North Raleigh Airport,Louisburg,North Carolina,US,36.08515,-78.37139,00NC
00NY,,Weiss Airfield,West Bloomfield,New York,US,42.89586,-77.49516,00NY
00OK,,Gull Bay Landing Airport,Sandsprings,Oklahoma,US,36.19892,-96.21768,00OK
00PN,,Ferrell Field,Mercer,Pennsylvania,US,41.2995,-80.21111,00PN
K00S,,Mc Kenzie Bridge State Airport,Mc Kenzie Bridge,Oregon,US,44.18156,-122.08556,00S
00SC,,Flying O Airport,Sumter,South Carolina,US,34.00944,-80.26722,00SC
00SD,,Homan Field,Gary,South Dakota,US,44.80916,-96.4989,00SD
00TS,,Alpine Range Airport,Everman,Texas,US,32.60794,-97.24232,00TS
00TT,,Nowhere Airport,Goodlett,Texas,US,34.51661,-99.93694,00TT
00VA,,Vaughan Airport,Alton,Virginia,US,36.576,-78.99917,00VA
00VI,,Groundhog Mountain Airport,Hillsville,Virginia,US,36.66333,-80.4995,00VI
K00W,,Lower Granite State Airport,Colfax,Washington,US,46.67275,-117.44167,00W
00WA,,Howell Airport,Longbranch,Washington,US,47.17843,-122.7718,00WA
00WI,,Northern Lite Airport,Waupaca,Wisconsin,US,44.30429,-89.05011,00WI
00WN,,Hawks Run Airport,Asotin,Washington,US,46.25,-117.249,00WN
00WV,,Lazy J Aerodrome,Beverly,West Virginia,US,38.82889,-79.86611,00WV
K01A,,Purkeypile Airport,Purkeypile,Alaska,US,62.94076,-152.26961,01A
01AL,,Ware Island Airport,Clanton,Alabama,US,32.94596,-86.51387,01AL
01AN,,Mc Hone Heights Airport,Wasilla,Alaska,US,61.64903,-149.33903,01AN
01CL,,Swansboro Country Airport,Placerville,California,US,38.7999,-120.73438,01CL
01FA,,Rybolt Ranch Airport,Orlando,Florida,US,28.58944,-81.14423,01FA
01FL,,Cedar Knoll Flying Ranch Airport,Geneva,Florida,US,28.78194,-81.15923,01FL
01GE,,The Farm Airport,Wrightsville,Georgia,US,32.7,-82.8,01GE
NULL,,Stender Airport,Maysville,US-IA,US,41.66109848022461,-90.74130249023438,01IA
01ID,,Lava Hot Springs Airport,Lava Hot Springs,Idaho,US,42.60825,-112.03246,01ID
NULL,,Myers Field,Lizton,US-IN,US,39.8849983215332,-86.50669860839844,01II
01IS,,William E Koenig Airport,Dow,Illinois,US,39.01616,-90.31817,01IS
K01J,,Hilliard Airpark,Hilliard,Florida,US,30.68597,-81.90634,01J
K01K,,Caldwell Municipal Airport,Caldwell,Kansas,US,37.03661,-97.58556,01K
NULL,,Flying N Ranch Airport,Lost Springs,US-KS,US,38.54059982299805,-97.00330352783203,01KS
01LA,,Barham Airport,Oak Ridge,Louisiana,US,32.63903,-91.77374,01LA
NULL,,Schumaier Restricted Landing Area,Pinckneyville,US-IL,US,38.12580108642578,-89.46389770507812,01LL
NULL,,Country Breeze Airport,Slaughter,US-LA,US,30.722478,-91.077372,01LS
01MT,,Crystal Lakes Resort Airport,Fortine,Montana,US,48.78913,-114.88044,01MT
01NC,,Topsail Airpark,Holly Ridge,North Carolina,US,34.47528,-77.58139,01NC
01NH,,Moore Airfield,Canaan,New Hampshire,US,43.64452,-72.08703,01NH
01NM,,Champion Ranch Airport,Artesia,New Mexico,US,33.00861,-104.54028,01NM
01NV,,Lantana Ranch Airport,Yerington,Nevada,US,38.76389,-119.02722,01NV
01OL,,Spring Creek Ranch East Airport,Tishomingo,Oklahoma,US,34.37257,-96.71604,01OL
NULL,,Bierly(Personal Use) Airport,Bellefonte,US-PA,US,40.930599212646484,-77.73889923095703,01PN
01PS,,Nort's Resort Airport,Meshoppen,Pennsylvania,US,41.59591,-76.02964,01PS
01SC,,York Airport,York,South Carolina,US,35.03208,-81.25278,01SC
01TE,,Smith Field,Forney,Texas,US,32.73763,-96.42804,01TE
01TN,,Colonial Air Park,Collierville,Tennessee,US,34.99593,-89.73064,01TN
K01U,,Duckwater Airport,Duckwater,Nevada,US,38.85325,-115.63467,01U
NULL,,La Sal Junction Airport,La Sal,US-UT,US,38.30830001831055,-109.39600372314453,01UT
01VA,,Pickles Airport,Berryville,Virginia,US,39.125,-77.925,01VA
NULL,,Prehn Cranberry Company Airport,Tomah,US-WI,US,44.0099983215332,-90.38919830322266,01WI
01WY,,Keyhole Airport,Moorcroft,Wyoming,US,44.3472,-104.8108,01WY
02AA,,Barefoot Airport,Big Lake,Alaska,US,61.50667,-149.91194,02AA
02AK,,Rustic Wilderness Airport,Willow,Alaska,US,61.87691,-150.09764,02AK
02AL,,Bass Field,Foley,Alabama,US,30.37146,-87.76444,02AL
02CD,,Shannon Field,Clarksdale,Mississippi,US,34.12961,-90.52402,02CD
