id,aircraftModel,tailNumber,price,priceUnit,quoteDate,leg_Passenger_number_PAX,leg_Departure_Date,leg_Arrival_Date,leg_Departure_Airport,leg_Arrival_Airport,leg_Departure_City,leg_Arrival_City,filename,fileModificationTime,diffDays,quoteDayOfWeek,category,duplicate_key,reason,price_zscore,category_lower,airport_distance,price_per_mile,distance_bin
14051,Beechcraft Beechjet 400A,,14950.0,USD,2024-07-27 00:00:00.000,,2024-07-30,,KPDK,KDAL,Dekalb Peachtree,Dallas Love Field,content-CQAAABYAAACJgdwiMFO2QY2vijNicTerAAHEj9qR.json,2025-03-17 12:02:35.000,3.0,5.0,Light jet,Beechcraft Beechjet 400A_KPDK_KDAL_14950.0,"Duplicate quote (same aircraft, route, price, within 5 minutes)",,,,,
18332,Eclipse 500,N70EJ,17040.0,USD,2024-08-02 00:00:00.000,,2024-08-02,2024-08-02,KVNY,KBFI,"Van Nuys, CA","Seattle, WA",pdf-CQAAABYAAACJgdwiMFO2QY2vijNicTerAAHH92P4.json,2025-03-17 13:23:59.000,,,Entry level jet (VLJ),Eclipse 500_KVNY_KBFI_17040.0_N70EJ,"Duplicate quote (same aircraft, route, price, within 5 minutes)",,,,,
14154,PIPER AEROSTAR 600,,4015.0,USD,2024-08-02 00:00:00.000,,2024-08-03,2024-08-03,KCAK,KHPN,"AKRON, OH","WHITE PLAINS, NY",content-CQAAABYAAACJgdwiMFO2QY2vijNicTerAAHIge9V.json,2025-03-17 12:04:19.000,1.0,4.0,Piston,PIPER AEROSTAR 600_KCAK_KHPN_4015.0,"Duplicate quote (same aircraft, route, price, within 5 minutes)",,,,,
14160,Piper Aerostar 600,,4015.0,USD,2024-08-02 00:00:00.000,2,2024-08-03,2024-08-03,KCAK,KHPN,"Akron, OH","White Plains, NY",content-CQAAABYAAACJgdwiMFO2QY2vijNicTerAAHIgfEz.json,2025-03-17 12:04:21.000,1.0,4.0,Piston,Piper Aerostar 600_KCAK_KHPN_4015.0,"Duplicate quote (same aircraft, route, price, within 5 minutes)",,,,,
19140,Cessna Citation CJ3,,12600.0,USD,2024-08-03 00:00:00.000,,2024-08-03,2024-08-03,KMDW,KPIT,"Chicago, IL","Pittsburgh, PA",pdf-CQAAABYAAACJgdwiMFO2QY2vijNicTerAAHIge9r.json,2025-03-17 13:35:57.000,0.0,5.0,Light jet,Cessna Citation CJ3_KMDW_KPIT_12600.0,"Duplicate quote (same aircraft, route, price, within 5 minutes)",,,,,
14168,N77ME,N77ME,125.0,USD,2024-08-04 00:00:00.000,,,,KCNY,KPWK,,,content-CQAAABYAAACJgdwiMFO2QY2vijNicTerAAHJMKK3.json,2025-03-17 12:04:27.000,,6.0,Unknown,N77ME_KCNY_KPWK_125.0_N77ME,"Duplicate quote (same aircraft, route, price, within 5 minutes)",,,,,
18344,Beechcraft King Air 350i,,6850.0,USD,2024-08-04 00:00:00.000,2,2024-08-04,2024-08-04,KDEN,KHDN,"Denver, CO","Hayden, CO",pdf-CQAAABYAAACJgdwiMFO2QY2vijNicTerAAHH934j.json,2025-03-17 13:24:08.000,0.0,6.0,Turbo prop,Beechcraft King Air 350i_KDEN_KHDN_6850.0,"Duplicate quote (same aircraft, route, price, within 5 minutes)",,,,,
18974,Gulfstream G200,,32420.0,USD,2024-08-05 00:00:00.000,TBD,2024-08-05,2024-08-05,KPSP,KMGM,"Palm Springs, CA","Montgomery, AL",pdf-CQAAABYAAACJgdwiMFO2QY2vijNicTerAAHI761e.json,2025-03-17 13:33:05.000,0.0,0.0,Super midsize jet,Gulfstream G200_KPSP_KMGM_32420.0,"Duplicate quote (same aircraft, route, price, within 5 minutes)",,,,,
19000,Gulfstream G280,,44980.0,USD,2024-08-08 00:00:00.000,TBD,2024-08-08,2024-08-08,KSNA,KTEB,"Santa Ana, CA","Teterboro, NJ",pdf-CQAAABYAAACJgdwiMFO2QY2vijNicTerAAHI77Cq.json,2025-03-17 13:33:27.000,,,Super midsize jet,Gulfstream G280_KSNA_KTEB_44980.0,"Duplicate quote (same aircraft, route, price, within 5 minutes)",,,,,
2336,Citation CJ2,N745JS,15950.0,USD,2024-08-12 00:00:00.000,1,2024-08-14,2024-08-15,CO55,KMYL,"Fort Collins, CO, US","Mc Call, ID, US",avinode-CQAAABYAAACJgdwiMFO2QY2vijNicTerAAHOBtCn.json,2025-03-17 09:23:16.000,2.0,0.0,Light jet,Citation CJ2_CO55_KMYL_15950.0_N745JS,"Duplicate quote (same aircraft, route, price, within 5 minutes)",,,,,
20405,Cessna Citation Bravo,,22500.0,USD,2024-08-14 00:00:00.000,1,2024-08-14,2024-08-14,MDTF,KMYL,"Fort Collins/Loveland, CO","McCall, ID",pdf-CQAAABYAAACJgdwiMFO2QY2vijNicTerAAHOBtR4.json,2025-03-17 13:57:28.000,,,Light jet,Cessna Citation Bravo_MDTF_KMYL_22500.0,"Duplicate quote (same aircraft, route, price, within 5 minutes)",,,,,
21779,Hawker 800XP,N47HA,23700.0,USD,2024-08-19 00:00:00.000,0,2024-08-20,2024-08-20,KHPN,KSTL,"WHITE PLAINS, NY","ST LOUIS, MO",pdf-CQAAABYAAACJgdwiMFO2QY2vijNicTerAAHSPccX.json,2025-03-17 14:18:03.000,1.0,0.0,Midsize jet,Hawker 800XP_KHPN_KSTL_23700.0_N47HA,"Duplicate quote (same aircraft, route, price, within 5 minutes)",,,,,
21621,Cessna Citation X,,16675.0,USD,2024-08-19 00:00:00.000,8,2024-08-19,2024-08-19,KDFW,KTEB,"Fort Worth, TX","Teterboro, NJ",pdf-CQAAABYAAACJgdwiMFO2QY2vijNicTerAAHSPY21.json,2025-03-17 14:15:55.000,,,Super midsize jet,Cessna Citation X_KDFW_KTEB_16675.0,"Duplicate quote (same aircraft, route, price, within 5 minutes)",,,,,
