route,category,aircraft_model,median_price,mean_price,std_price,min_price,max_price,sample_count
KRSW - KPIT,Light jet,Light Jet,17330.0,17001.048620689657,2641.589692444616,12500.0,27165.0,58
KAVP - KVRB,Light jet,Citation Bravo,17496.0,17131.18,2241.8130389558924,13047.0,21500.0,50
KBUF - KTPA,Light jet,Learjet 31A,19396.0,18669.77239130435,3257.938742121865,11200.0,24567.0,46
KPDK - KTEB,Light jet,Citation Bravo,16350.0,16076.810487804878,2255.8666040193416,10000.0,20497.0,41
KCOE - KVNY,Light jet,Nextant 400XTi,16850.0,17319.91891891892,3392.641541945175,11600.0,25023.0,37
KTEB - KOPF,Midsize jet,Beechcraft Hawker 800XP,17871.0,18107.46511627907,3769.211338177974,10000.0,29500.0,43
KTPA - KBUF,Midsize jet,Beechcraft Hawker 800XP,20495.0,19996.45,3911.7843915074136,10970.0,27560.0,40
KVNY - KLAS,Midsize jet,Hawker 900XP,12830.0,13129.746400000002,2620.5422971509797,8841.66,23000.0,25
KPDK - KTEB,Midsize jet,Cessna Citation Excel,15450.0,15430.35,2998.756182190755,9500.0,20303.0,23
KOPF - MYNN,Midsize jet,Sabreliner 65,13420.0,13652.91304347826,2169.7661774537214,10221.0,16767.0,23
KSFO - KTEB,Ultra long range,Gulfstream G650ER,72689.0,76562.66,15834.832353504722,54370.0,110105.26,11
KTEB - KSFO,Ultra long range,Gulfstream GV,98515.95,87676.99,25536.42277220911,52500.0,129504.0,10
KTEB - EGGW,Ultra long range,Global Express,99950.0,104137.77777777778,15681.34223988637,85000.0,133000.0,9
KPHL - LFMN,Ultra long range,Gulfstream GV,105540.5,107193.125,9195.29482845128,93000.0,118660.0,8
KMMU - LIRA,Ultra long range,Global Express,89490.0,89109.25,13439.822232561603,74200.0,113844.0,8
KTEB - KOPF,Super midsize jet,Cessna Citation X,20995.0,21323.450624999998,4318.135185085087,10600.0,32000.0,48
KPBI - KMKC,Super midsize jet,Gulfstream G200,34895.0,34971.805555555555,6100.313026251519,22000.0,56615.0,36
KCOE - KVNY,Super midsize jet,Citation X,24974.0,23787.76956521739,3742.0948609805537,14950.0,29134.0,23
KJAC - KMYR,Super midsize jet,Bombardier Challenger 300,32500.0,32881.27272727273,3430.6934073757243,29000.0,40771.0,22
KMYR - KJAC,Super midsize jet,Cessna Citation X,33000.0,33766.666666666664,3602.6786608485268,28000.0,40000.0,21
KVNY - KLAS,Entry level jet (VLJ),Phenom 100,8971.0,9195.368421052632,2076.0556340648905,6000.0,16819.0,38
KLAS - KSLC,Entry level jet (VLJ),Citation Mustang,10776.0,11266.615384615385,2521.184527772,7430.0,14996.0,13
KPHX - KFMN,Entry level jet (VLJ),Embraer Phenom 100,12416.085,12273.930833333332,1854.4379862052708,9900.0,14477.0,12
KOAK - KVNY,Entry level jet (VLJ),Phenom 100,8995.0,9026.333333333334,1325.249776342924,6250.0,10708.0,12
KPNS - KLOU,Entry level jet (VLJ),Phenom 100,16740.0,15628.9375,2691.178164022472,9459.0,18325.0,12
KTEB - KOPF,Heavy jet,Gulfstream GIVSP,23526.5,26640.236842105263,7187.347886744627,16150.0,40000.0,38
KVNY - KAUS,Heavy jet,Gulfstream GIVSP,39936.0,39242.77777777778,7052.851165599807,21530.0,50100.0,27
KAUS - KVNY,Heavy jet,Gulfstream GIVSP,45208.0,43882.57884615385,5583.446026213078,26580.0,52421.05,26
KSLC - MYNN,Heavy jet,Gulfstream GIVSP,57950.0,62648.208333333336,15691.92177655964,42000.0,90950.0,24
KSAN - KASE,Heavy jet,Gulfstream GIV,37881.0,37841.47826086957,5421.742690899681,28000.0,47484.0,23
KMRY - KVNY,Turbo prop,TBM 700,6899.0,6785.781481481482,2076.749558257037,4275.0,14390.0,27
KBOS - KTEB,Turbo prop,Pilatus PC12/47E (NG),7416.0,7434.36,2328.529057867506,4900.0,14000.0,25
KVNY - KLAS,Turbo prop,Beechcraft King Air 200,7000.0,7599.36,1935.3406651026582,5000.0,11626.0,25
KRSW - KGSP,Turbo prop,King Air 200,11201.0,11048.749166666666,1713.9489040426033,7674.98,13648.0,24
KOPF - MYNN,Turbo prop,Cessna 208B Grand Caravan,5000.0,5137.826086956522,961.0353154126834,4118.0,8750.0,23
KVNY - KLAS,Super light jet,Learjet 40XR,9700.0,9420.5625,1771.086332123122,5000.0,13200.0,16
LIMC - EGKB,Super light jet,Phenom 300,16536.0,17557.253333333334,2341.6629054299565,14310.0,22949.0,15
KECP - KPDK,Super light jet,Phenom 300,18514.0,17524.30769230769,3062.3212977689377,11628.0,20700.0,13
LIRQ - LIEO,Super light jet,Phenom 300,15094.4,14488.56923076923,2244.97742653262,9752.0,16960.0,13
KAUS - KLAX,Super light jet,Learjet 45XR,26100.0,25136.363636363636,6331.5120985863605,13950.0,35500.0,11
KCHS - KORL,Piston,Cirrus SR 22,5033.0,5039.333333333333,798.8474786325904,3815.0,6428.0,18
KCAE - KTIX,Piston,Cirrus SR 22,5770.0,5899.272727272727,1333.0594203492274,4300.0,8000.0,11
KOPF - MYEF,Piston,Chieftan,5645.0,5717.8,1303.8904861988983,4364.0,9100.0,10
KPBI - MYAM,Piston,Chieftan,4386.5,4489.8,644.2607822578956,3941.0,6150.0,10
KBCT - KCHS,Piston,Cirrus SR 22,5950.0,5659.9,858.7777425568918,4150.0,6628.0,10
