id,aircraftModel,category,price,quoteDate,leg_Passenger_number_PAX,leg_Departure_Date,leg_Arrival_Date,leg_Departure_Airport,leg_Arrival_Airport,airport_distance,distance_bin,is_holiday,is_weekend,route
18155,CESSNA 510 Citation Mustang,Entry level jet (VLJ),14628.0,2024-01-08 00:00:00.000,2,2024-01-08,2024-01-08,LFTH,LEIB,617.3649842972459,very_short,False,False,LFTH - LEIB
23623,HondaJet,Entry level jet (VLJ),9540.0,2024-05-09 00:00:00.000,4,2024-06-09,2024-06-09,LEMD,LEIB,460.31025449160796,very_short,False,True,LEMD - LEIB
23624,HondaJet,Entry level jet (VLJ),9540.0,2024-06-09 00:00:00.000,4,2024-06-09,2024-06-09,LEMD,LEIB,460.31025449160796,very_short,False,True,LEMD - LEIB
16205,Embraer Phenom 100,Entry level jet (VLJ),6733.0,2024-07-22 00:00:00.000,5,2024-07-22,2024-07-22,KVNY,KSAN,203.50942203271006,very_short,False,False,KVNY - KSAN
1017,Citation Mustang,Entry level jet (VLJ),7144.400000000001,2024-07-27 00:00:00.000,4,2024-07-28,2024-07-28,LFMN,LIEO,360.5451244224564,very_short,False,True,LFMN - LIEO
1019,Citation Mustang,Entry level jet (VLJ),8851.0,2024-07-27 00:00:00.000,4,2024-07-28,2024-07-28,LFMN,LIEO,360.5451244224564,very_short,False,True,LFMN - LIEO
18128,CESSNA 510 Citation Mustang,Entry level jet (VLJ),10441.0,2024-07-29 00:00:00.000,2,2024-07-29,2024-07-29,LEBL,LFMN,497.1043814664123,very_short,False,False,LEBL - LFMN
1150,Citation CJ1,Entry level jet (VLJ),9646.0,2024-07-29 00:00:00.000,1,2024-07-30,2024-07-30,LFTZ,LSGS,341.5736280394958,very_short,False,False,LFTZ - LSGS
18140,CESSNA 510 Citation Mustang,Entry level jet (VLJ),7314.0,2024-07-29 00:00:00.000,2,2024-07-30,2024-07-30,LEBL,LFTH,390.89524055393207,very_short,False,False,LEBL - LFTH
17998,Embraer Phenom 100E,Entry level jet (VLJ),6500.0,2024-07-31 00:00:00.000,2,2024-07-31,2024-07-31,KVNY,KLAS,368.15053634593244,very_short,False,False,KVNY - KLAS
18013,Cessna Citation CJ1,Entry level jet (VLJ),8971.0,2024-07-31 00:00:00.000,2,2024-07-31,2024-07-31,KVNY,KLAS,368.15053634593244,very_short,False,False,KVNY - KLAS
18061,Cirrus Vision Jet SF50,Entry level jet (VLJ),6530.0,2024-07-31 00:00:00.000,2,2024-07-31,2024-07-31,KACK,KTEB,336.56454137943507,very_short,False,False,KACK - KTEB
1277,Vision Jet,Entry level jet (VLJ),8525.0,2024-07-30 00:00:00.000,2,2024-07-31,2024-08-01,KRST,KPWK,425.3850886598032,very_short,False,False,KRST - KPWK
