id,aircraftModel,category,price,quoteDate,leg_Passenger_number_PAX,leg_Departure_Date,leg_Arrival_Date,leg_Departure_Airport,leg_Arrival_Airport,month,day_of_week,route,days_until_departure,is_holiday,season,trip_duration,is_weekend,departure_hour,is_peak_hour
18155,CESSNA 510 Citation Mustang,Entry level jet (VLJ),14628.0,2024-01-08,2,2024-01-08,2024-01-08,LFTH,LEIB,1,0,LFTH - LEIB,0,False,winter,0.0,False,0,False
15308,Beechjet 400A,Light jet,41900.0,2024-01-11,4,2024-01-11,,MROC,SPJC,1,3,MROC - SPJC,0,False,winter,,False,0,False
26362,Phenom 300,Super light jet,22154.0,2024-01-11,4,2024-01-11,2024-01-11,LEMG,LOWW,1,3,LEMG - LOWW,0,False,winter,0.0,False,0,False
33846,Nextant 400XTi,Light jet,17490.0,2024-01-12,4,2024-01-12,,LEMG,EGLF,1,4,LEMG - EGLF,0,False,winter,,False,0,False
22303,Beechjet 400A,Light jet,10918.0,2024-03-09,2,2024-03-09,2024-03-09,LIML,LOWW,3,5,LIML - LOWW,0,False,spring,0.0,True,0,False
22534,Learjet 60XR,Midsize jet,13780.0,2024-03-09,2,2024-03-09,2024-03-09,LIML,LOWW,3,5,LIML - LOWW,0,False,spring,0.0,True,0,False
19171,Cessna Mustang,Unknown,13356.0,2024-04-08,2,2024-04-08,2024-04-08,EHAM,ENAL,4,0,EHAM - ENAL,0,False,spring,0.0,False,0,False
18969,Hawker 800XPi,Midsize jet,46640.0,2024-03-08,2,2024-04-08,2024-04-08,DGAA,GMMN,4,0,DGAA - GMMN,31,False,spring,0.0,False,0,False
17878,Cessna Citation XLS+,Midsize jet,17861.0,2024-04-12,4,2024-04-12,2024-04-12,LIMC,EGKB,4,4,LIMC - EGKB,0,False,spring,0.0,False,0,False
30247,Learjet 60,Midsize jet,11380.0,2024-05-11,6,2024-05-25,2024-05-25,SADF,SANE,5,5,SADF - SANE,14,False,spring,0.0,True,0,False
19340,Citation CJ3,Light jet,17278.0,2024-06-08,3,2024-06-08,2024-06-08,LBSF,LSGG,6,5,LBSF - LSGG,0,False,summer,0.0,True,0,False
23621,Beechjet 400A,Light jet,10706.0,2024-06-09,4,2024-06-09,2024-06-09,LEMD,LEIB,6,6,LEMD - LEIB,0,False,summer,0.0,True,0,False
23623,HondaJet,Entry level jet (VLJ),9540.0,2024-05-09,4,2024-06-09,2024-06-09,LEMD,LEIB,6,6,LEMD - LEIB,31,False,summer,0.0,True,0,False
23624,HondaJet,Entry level jet (VLJ),9540.0,2024-06-09,4,2024-06-09,2024-06-09,LEMD,LEIB,6,6,LEMD - LEIB,0,False,summer,0.0,True,0,False
32210,Phenom 300,Super light jet,10600.0,2024-06-12,2,2024-06-12,2024-06-12,LSGG,LFPB,6,2,LSGG - LFPB,0,False,summer,0.0,False,0,False
1443,Phenom 100,Entry level jet (VLJ),11250.0,2024-07-07,1,2024-07-07,2024-07-07,KMVY,KBUY,7,6,KMVY - KBUY,0,False,summer,0.0,True,0,False
1114,Gulfstream G550,Ultra long range,57801.0,2024-07-07,11,2024-07-07,2024-07-07,MMUN,KDAL,7,6,MMUN - KDAL,0,False,summer,0.0,True,0,False
19933,Gulfstream G-V,Ultra long range,79500.0,2024-07-08,6,2024-07-08,2024-07-09,KTEB,LIRA,7,0,KTEB - LIRA,0,False,summer,1.0,False,0,False
23,Beechjet 400,Light jet,11500.0,2024-07-16,1,2024-07-16,2024-07-17,KRVS,KAEX,7,1,KRVS - KAEX,0,False,summer,1.0,False,0,False
27,Citation II,Light jet,9700.0,2024-07-16,1,2024-07-16,2024-07-17,KRVS,KAEX,7,1,KRVS - KAEX,0,False,summer,1.0,False,0,False
28,Pilatus PC12/47,Turbo prop,10200.0,2024-07-16,1,2024-07-16,2024-07-17,KRVS,KAEX,7,1,KRVS - KAEX,0,False,summer,1.0,False,0,False
29,King Air 90,Turbo prop,7300.0,2024-07-16,1,2024-07-16,2024-07-17,KRVS,KAEX,7,1,KRVS - KAEX,0,False,summer,1.0,False,0,False
16190,Learjet 60,Midsize jet,18900.0,2024-07-16,3,2024-07-16,2024-07-16,KCGI,KMKC,7,1,KCGI - KMKC,0,False,summer,0.0,False,0,False
16240,Beechcraft Beechjet 400,Light jet,11500.0,2024-07-16,1,2024-07-16,2024-07-16,KRVS,KAEX,7,1,KRVS - KAEX,0,False,summer,0.0,False,0,False
16273,Piaggio Avanti II,Light jet,8050.0,2024-07-16,1,2024-07-16,2024-07-16,KRVS,KAEX,7,1,KRVS - KAEX,0,False,summer,0.0,False,0,False
